Date,Category,Product,Quantity,Unit Price,Total Price
2024-02-01,Cakes,Chocolate Truffle Cake,5,25.0,125
2024-02-02,Bread,Sourdough Loaf,12,6.5,78
2024-02-03,Pastries,Butter Croissant,25,2.5,62.5
2024-02-04,Cookies,Oatmeal Raisin Cookies,40,1.0,40
2024-02-05,Pastries,Blueberry Muffin,20,3.5,70
2024-02-06,Cakes,Red Velvet Cupcake,30,4.0,120
2024-02-07,Bread,Garlic Baguette,15,3.5,52.5
2024-02-08,Cookies,Chocolate Chip Cookie,50,1.0,50
2024-02-09,Cakes,Cheesecake Slice,18,5.5,99
2024-02-10,Pastries,Apple Turnover,15,3.0,45
