Date,Category,Product,Quantity,Unit Price,Total Price
2024-01-11,Dairy,Fresh Milk 1L,50,1.5,75
2024-01-12,Produce,Apples 1kg,30,3.0,90
2024-01-12,Produce,Bananas 1kg,40,1.2,48
2024-01-13,Pantry,White Rice 5kg,20,10.0,200
2024-01-14,Pantry,Cooking Oil 2L,15,8.5,127.5
2024-01-15,Meat,Chicken Breast 1kg,10,12.0,120
2024-01-16,Vegetables,Potatoes 5kg,25,4.5,112.5
2024-01-17,Dairy,Cheddar Cheese,15,5.5,82.5
2024-01-18,Household,Laundry Detergent,8,14.0,112
2024-01-19,Pantry,Organic Sugar 1kg,22,2.5,55
2024-01-20,Snacks,Potato Chips,35,1.8,63
