Date,Category,Product,Quantity,Unit Price,Total Price
2023-01-01,Electronics,Laptop,1,1200.00,1200.00
2023-01-02,Furniture,Chair,4,50.00,200.00
2023-01-03,Electronics,Mouse,10,25.00,250.00
2023-01-04,Office Supplies,Paper,5,5.00,25.00
2023-01-05,Furniture,Desk,1,300.00,300.00
2023-01-06,Electronics,Monitor,2,200.00,400.00
2023-01-07,Office Supplies,Pen,20,1.50,30.00
2023-01-08,Electronics,Keyboard,3,45.00,135.00
2023-01-09,Furniture,Bookshelf,1,150.00,150.00
2023-01-10,Electronics,Headphones,2,80.00,160.00
